Player,Elo Rank,Age,Elo,    ,hElo Rank,hElo,cElo Rank,cElo,gElo Rank,gElo,    ,Peak Elo,Peak Month,    ,ATP Rank,Log diff,yElo
Carlos Taberner,118,27.9,1676.5,,233,1487.2,97,1663.5,231,1466.5,,1725.0,2021-10,,83,0.35,1744.0
Dusan Lajovic,119,35.0,1676.2,,144,1590.4,98,1662.3,169,1515.6,,1854.6,2018-10,,146,-0.20,1640.1
Yosuke Watanuki,120,27.2,1674.9,,105,1637.4,126,1614.3,100,1604.3,,1798.2,2023-05,,147,-0.20,1661.5
Bu Yunchaokete,121,23.5,1674.0,,94,1654.7,133,1603.7,216,1479.2,,1834.9,2024-09,,75,0.48,1637.5
Ignacio Buse,122,21.3,1672.3,,287,1425.0,100,1659.4,175,1509.6,,1708.8,2025-07,,140,-0.14,1695.1
Francesco Passaro,123,24.5,1669.9,,151,1578.9,104,1649.0,196,1491.3,,1779.0,2022-08,,118,0.04,1658.1
Colton Smith,124,22.3,1668.3,,98,1649.2,188,1526.1,101,1603.1,,1837.6,2025-06,,138,-0.11,1660.9
Emil Ruusuvuori,125,26.0,1667.3,,103,1641.8,132,1604.4,96,1607.1,,1893.2,2023-06,,739,-1.78,1460.1
Alexander Shevchenko,126,24.6,1666.0,,133,1606.1,112,1637.4,219,1475.8,,1792.0,2024-02,,102,0.21,1685.0
Nikoloz Basilashvili,127,33.4,1665.7,,118,1621.2,128,1606.9,83,1620.5,,1889.8,2019-01,,112,0.13,1677.4
Pedro Martinez,128,28.2,1665.0,,142,1593.6,103,1651.4,189,1493.9,,1844.3,2022-04,,66,0.66,1599.8
Matteo Gigante,129,23.5,1664.3,,136,1603.0,114,1634.2,190,1493.3,,1709.5,2025-05,,126,0.02,1688.7
Raphael Collignon,130,23.5,1663.1,,99,1648.7,123,1619.2,156,1529.1,,1777.6,2025-04,,107,0.19,1630.3
Liam Draxl,131,23.6,1662.5,,102,1643.7,158,1567.0,194,1492.0,,1699.6,2025-07,,114,0.14,1674.6
Daniel Evans,132,35.1,1661.1,,108,1631.1,168,1552.9,80,1628.4,,1902.5,2021-04,,128,0.03,1693.5
Richard Gasquet,133,38.9,1659.2,,121,1617.4,125,1617.5,103,1600.5,,2059.5,2016-05,,181,-0.31,1653.2
Pablo Llamas Ruiz,134,22.7,1656.4,,191,1529.8,108,1643.1,164,1519.4,,1733.1,2023-08,,360,-0.99,1690.2
Andrea Vavassori,135,30.2,1656.0,,120,1619.2,120,1624.7,162,1522.0,,1734.8,2023-04,,309,-0.83,1606.4
Mark Lajal,136,22.2,1655.3,,127,1612.2,192,1522.9,87,1615.3,,1685.3,2025-07,,150,-0.10,1679.9
Valentin Royer,137,24.1,1652.6,,178,1538.8,119,1626.5,102,1602.0,,1715.0,2025-04,,104,0.28,1650.2
Rinky Hijikata,138,24.4,1651.0,,110,1629.3,224,1483.1,110,1585.8,,1744.9,2025-01,,84,0.50,1608.2
Chris Rodesch,139,23.9,1648.9,,194,1528.0,136,1596.6,107,1594.2,,1648.9,2025-06,,159,-0.13,1672.5
Nicolas Moreno De Alboran,140,27.8,1648.5,,115,1624.8,150,1581.2,158,1527.6,,1687.7,2024-11,,216,-0.43,1580.8
Aleksandar Kovacevic,141,26.9,1647.9,,92,1657.1,210,1505.0,185,1499.9,,1758.8,2024-04,,67,0.74,1635.8
Hugo Dellien,142,32.1,1647.6,,215,1506.0,121,1622.3,208,1484.6,,1779.8,2022-05,,108,0.27,1644.1
Brandon Holt,143,27.2,1646.8,,112,1626.3,312,1408.7,126,1562.0,,1725.5,2025-02,,106,0.30,1637.9
